,"Life expectancy at birth, total (years)","Lower secondary completion rate, total (% of relevant age group)","School enrollment, secondary (% net)",Expense (% of GDP),Compensation of employees (% of expense),Tax revenue (% of GDP),"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",Labor force with advanced education (% of total working-age population with advanced education),"Labor force participation rate, total (% of total population ages 15+) (national estimate)",Labor force with basic education (% of total working-age population with basic education),Labor force with intermediate education (% of total working-age population with intermediate education),Net lending (+) / net borrowing (-) (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)
39,81.6951219512195,94.82442579161655,92.14638842105263,26.7688330332283,2.753588772305193,20.5269552747402,68.4960021972656,86.3300018310547,65.3906021118164,64.7600021362305,81.7699966430664,-4.02870864141173,16.69099677252615,0.7
40,81.8951219512195,95.00140655596509,92.3647347368421,26.0321384250703,2.7387687047073883,20.3503122216089,68.1539993286133,86.6399993896484,65.4197998046875,64.7799987792969,82.5199966430664,-3.79035480177493,16.69099677252615,0.7
41,82.0463414634146,95.17838732031366,92.58308105263157,26.1413123942118,2.7532615118262704,21.1170969777079,67.4889984130859,86.8600006103516,65.1522979736328,65.4400024414063,81.9700012207031,-3.14106830601457,16.69099677252615,0.7
42,82.1487804878049,95.35536808466223,92.80142736842105,25.8963215034495,2.9729735007391,21.9581112368817,66.7799987792969,82.5800018310547,64.9389038085938,52.1399993896484,76.1399993896484,-1.48342746599475,16.69099677252615,0.7
43,82.3,95.53234884901079,93.01977368421052,26.2708238193841,2.7796788299250017,21.9088787823813,66.5400009155273,82.5800018310547,64.703498840332,52.1399993896484,76.1399993896484,-2.21040581033825,16.69099677252615,0.7
44,82.4,95.70932961335936,93.23812,26.7570314187914,2.791023765219876,21.865491896164,67.2580032348633,82.5800018310547,64.9963989257813,52.1399993896484,76.1399993896484,-2.61079489671618,16.69099677252615,0.7
45,82.4487804878049,95.32950554408723,92.76952,26.9385938819086,2.866839202897058,22.2344726424899,66.6969985961914,82.5800018310547,64.8683013916016,52.1399993896484,76.1399993896484,-2.33273158412586,16.69099677252615,0.7
46,82.5,94.93621822728925,92.28431,26.5625682674079,2.8268168280118102,22.0474576578938,66.6699981689453,82.5800018310547,65.1697998046875,52.1399993896484,76.1399993896484,-1.75025576340056,16.69099677252615,0.7
47,82.7487804878049,94.93621822728925,92.28431,26.1359111957416,2.703780239754197,23.1146946812654,67.495002746582,82.5800018310547,65.6324005126953,52.1399993896484,76.1399993896484,-0.500389492361622,16.69099677252615,0.7
48,82.7487804878049,94.93621822728925,92.28431,26.1035090234959,2.748069320113895,23.3336747444538,67.1370010375977,82.5800018310547,65.9585037231445,52.1399993896484,76.1399993896484,-0.151023209127968,16.69099677252615,0.7
